Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_11_69,VGND,li1,37.4900,43.5200,0.000069
FILLER_11_29,VGND,li1,19.0900,43.5200,0.000092
FILLER_11_3,VGND,li1,7.3600,43.5200,0.000108
FILLER_10_69,VGND,li1,37.4900,38.0800,0.000055
FILLER_10_3,VGND,li1,7.1300,38.0800,0.000108
FILLER_9_69,VGND,li1,37.4900,38.0800,0.000055
FILLER_9_48,VGND,li1,28.0600,38.0800,0.000055
FILLER_9_23,VGND,li1,16.3300,38.0800,0.000092
FILLER_8_69,VGND,li1,37.4900,32.6400,0.000004
FILLER_8_44,VGND,li1,25.9900,32.6400,0.000004
FILLER_8_3,VGND,li1,7.1300,32.6400,0.000006
FILLER_7_69,VGND,li1,37.4900,32.6400,0.000004
FILLER_7_55,VGND,li1,31.0500,32.6400,0.000004
FILLER_7_7,VGND,li1,9.2000,32.6400,0.000006
FILLER_7_3,VGND,li1,7.1300,32.6400,0.000006
FILLER_6_48,VGND,li1,27.8300,27.2000,0.000003
FILLER_6_35,VGND,li1,22.3100,27.2000,0.000003
FILLER_6_32,VGND,li1,20.9300,27.2000,0.000003
FILLER_6_27,VGND,li1,18.1700,27.2000,0.000003
FILLER_6_3,VGND,li1,7.1300,27.2000,0.000003
FILLER_5_68,VGND,li1,37.2600,27.2000,0.000005
FILLER_5_57,VGND,li1,31.9700,27.2000,0.000004
FILLER_5_48,VGND,li1,28.0600,27.2000,0.000003
FILLER_5_43,VGND,li1,25.7600,27.2000,0.000003
FILLER_5_31,VGND,li1,20.4700,27.2000,0.000003
FILLER_5_14,VGND,li1,12.4200,27.2000,0.000003
FILLER_5_3,VGND,li1,7.3600,27.2000,0.000003
FILLER_4_69,VGND,li1,37.4900,21.7600,0.000001
FILLER_4_37,VGND,li1,23.0000,21.7600,0.000001
FILLER_4_29,VGND,li1,19.0900,21.7600,0.000001
FILLER_4_18,VGND,li1,14.0300,21.7600,0.000001
FILLER_4_7,VGND,li1,9.2000,21.7600,0.000001
FILLER_4_3,VGND,li1,7.1300,21.7600,0.000001
FILLER_3_68,VGND,li1,37.2600,21.7600,0.000001
FILLER_3_57,VGND,li1,32.2000,21.7600,0.000001
FILLER_3_48,VGND,li1,28.0600,21.7600,0.000001
FILLER_3_43,VGND,li1,25.7600,21.7600,0.000001
FILLER_3_39,VGND,li1,23.6900,21.7600,0.000001
FILLER_3_34,VGND,li1,21.6200,21.7600,0.000001
FILLER_3_9,VGND,li1,9.8900,21.7600,0.000001
FILLER_2_54,VGND,li1,30.5900,16.3200,0.000001
FILLER_2_44,VGND,li1,25.9900,16.3200,0.000001
FILLER_2_24,VGND,li1,16.7900,16.3200,0.000001
FILLER_2_19,VGND,li1,14.7200,16.3200,0.000001
FILLER_2_13,VGND,li1,11.9600,16.3200,0.000001
FILLER_2_8,VGND,li1,9.6600,16.3200,0.000001
FILLER_2_3,VGND,li1,7.3600,16.3200,0.000001
FILLER_1_60,VGND,li1,33.5800,16.3200,0.000002
FILLER_1_57,VGND,li1,32.4300,16.3200,0.000002
FILLER_1_34,VGND,li1,21.3900,16.3200,0.000001
FILLER_1_11,VGND,li1,11.0400,16.3200,0.000001
FILLER_1_3,VGND,li1,7.3600,16.3200,0.000001
FILLER_0_69,VGND,li1,37.4900,10.8800,0.000001
FILLER_0_60,VGND,li1,33.5800,10.8800,0.000001
FILLER_0_57,VGND,li1,32.4300,10.8800,0.000001
FILLER_0_53,VGND,li1,30.5900,10.8800,0.000001
FILLER_0_12,VGND,li1,11.2700,10.8800,0.000000
clkload0,VGND,li1,20.7000,43.5200,0.000085
clkbuf_1_1__f_clk,VGND,li1,26.6800,43.5200,0.000068
clkbuf_1_0__f_clk,VGND,li1,11.5000,38.0800,0.000108
clkbuf_0_clk,VGND,li1,13.8000,43.5200,0.000108
TAP_TAPCELL_ROW_11_37,VGND,li1,31.5100,43.2280,0.000069
TAP_TAPCELL_ROW_11_36,VGND,li1,18.6300,43.2280,0.000092
TAP_TAPCELL_ROW_10_35,VGND,li1,18.6300,38.3710,0.000083
TAP_TAPCELL_ROW_9_34,VGND,li1,31.5100,37.7880,0.000055
TAP_TAPCELL_ROW_8_33,VGND,li1,18.6300,32.9310,0.000005
TAP_TAPCELL_ROW_7_32,VGND,li1,31.5100,32.3480,0.000004
TAP_TAPCELL_ROW_6_31,VGND,li1,18.6300,27.4910,0.000003
TAP_TAPCELL_ROW_5_30,VGND,li1,31.5100,26.9080,0.000004
TAP_TAPCELL_ROW_4_29,VGND,li1,18.6300,22.0510,0.000001
TAP_TAPCELL_ROW_3_28,VGND,li1,31.5100,21.4680,0.000001
TAP_TAPCELL_ROW_2_27,VGND,li1,18.6300,16.6110,0.000001
TAP_TAPCELL_ROW_1_26,VGND,li1,31.5100,16.0280,0.000002
TAP_TAPCELL_ROW_0_25,VGND,li1,31.5100,11.1710,0.000001
TAP_TAPCELL_ROW_0_24,VGND,li1,18.6300,11.1710,0.000000
PHY_EDGE_ROW_11_Left_23,VGND,li1,6.2100,43.5200,0.000108
PHY_EDGE_ROW_10_Left_22,VGND,li1,6.2100,38.0800,0.000108
PHY_EDGE_ROW_9_Left_21,VGND,li1,6.2100,38.0800,0.000108
PHY_EDGE_ROW_8_Left_20,VGND,li1,6.2100,32.6400,0.000006
PHY_EDGE_ROW_7_Left_19,VGND,li1,6.2100,32.6400,0.000006
PHY_EDGE_ROW_6_Left_18,VGND,li1,6.2100,27.2000,0.000003
PHY_EDGE_ROW_5_Left_17,VGND,li1,6.2100,27.2000,0.000003
PHY_EDGE_ROW_4_Left_16,VGND,li1,6.2100,21.7600,0.000001
PHY_EDGE_ROW_3_Left_15,VGND,li1,6.2100,21.7600,0.000001
PHY_EDGE_ROW_2_Left_14,VGND,li1,6.2100,16.3200,0.000001
PHY_EDGE_ROW_1_Left_13,VGND,li1,6.2100,16.3200,0.000001
PHY_EDGE_ROW_0_Left_12,VGND,li1,6.2100,10.8800,0.000000
PHY_EDGE_ROW_11_Right_11,VGND,li1,38.4100,43.5200,0.000069
PHY_EDGE_ROW_10_Right_10,VGND,li1,38.4100,38.0800,0.000055
PHY_EDGE_ROW_9_Right_9,VGND,li1,38.4100,38.0800,0.000055
PHY_EDGE_ROW_8_Right_8,VGND,li1,38.4100,32.6400,0.000004
PHY_EDGE_ROW_7_Right_7,VGND,li1,38.4100,32.6400,0.000004
PHY_EDGE_ROW_6_Right_6,VGND,li1,38.4100,27.2000,0.000005
PHY_EDGE_ROW_5_Right_5,VGND,li1,38.4100,27.2000,0.000005
PHY_EDGE_ROW_4_Right_4,VGND,li1,38.4100,21.7600,0.000001
PHY_EDGE_ROW_3_Right_3,VGND,li1,38.4100,21.7600,0.000001
PHY_EDGE_ROW_2_Right_2,VGND,li1,38.4100,16.3200,0.000002
PHY_EDGE_ROW_1_Right_1,VGND,li1,38.4100,16.3200,0.000002
PHY_EDGE_ROW_0_Right_0,VGND,li1,38.4100,10.8800,0.000001
dc_inst.x9,VGND,li1,14.4900,32.6400,0.000006
dc_inst.x8,VGND,li1,24.1500,32.6400,0.000004
dc_inst.x7.x9,VGND,li1,8.0500,27.2000,0.000003
dc_inst.x7.x8,VGND,li1,8.5100,27.2000,0.000003
dc_inst.x7.x7,VGND,li1,9.8900,27.2000,0.000003
dc_inst.x7.x6,VGND,li1,11.2700,27.2000,0.000003
dc_inst.x7.x5,VGND,li1,14.0300,27.2000,0.000003
dc_inst.x7.x4,VGND,li1,12.6500,27.2000,0.000003
dc_inst.x7.x3,VGND,li1,25.0700,32.6400,0.000004
dc_inst.x7.x20,VGND,li1,17.7100,32.6400,0.000005
dc_inst.x7.x2,VGND,li1,16.3300,32.6400,0.000005
dc_inst.x7.x19,VGND,li1,9.4300,32.6400,0.000006
dc_inst.x7.x18,VGND,li1,14.9500,32.6400,0.000006
dc_inst.x7.x17,VGND,li1,13.5700,32.6400,0.000006
dc_inst.x7.x16,VGND,li1,12.1900,32.6400,0.000006
dc_inst.x7.x15,VGND,li1,10.8100,32.6400,0.000006
dc_inst.x7.x14,VGND,li1,8.0500,32.6400,0.000006
dc_inst.x7.x13,VGND,li1,8.0500,32.6400,0.000006
dc_inst.x7.x12,VGND,li1,8.0500,38.0800,0.000108
dc_inst.x7.x11,VGND,li1,8.5100,43.5200,0.000108
dc_inst.x7.x10,VGND,li1,11.2700,27.2000,0.000003
dc_inst.x7.x1,VGND,li1,13.5700,27.2000,0.000003
dc_inst.x6.x9,VGND,li1,12.1900,21.7600,0.000001
dc_inst.x6.x8,VGND,li1,10.8100,21.7600,0.000001
dc_inst.x6.x7,VGND,li1,10.8100,16.3200,0.000001
dc_inst.x6.x6,VGND,li1,12.1900,16.3200,0.000001
dc_inst.x6.x5,VGND,li1,13.1100,21.7600,0.000001
dc_inst.x6.x4,VGND,li1,11.7300,21.7600,0.000001
dc_inst.x6.x3,VGND,li1,10.3500,21.7600,0.000001
dc_inst.x6.x20,VGND,li1,15.6400,27.2000,0.000003
dc_inst.x6.x2,VGND,li1,8.0500,21.7600,0.000001
dc_inst.x6.x19,VGND,li1,17.2500,27.2000,0.000003
dc_inst.x6.x18,VGND,li1,19.5500,27.2000,0.000003
dc_inst.x6.x17,VGND,li1,16.3300,27.2000,0.000003
dc_inst.x6.x16,VGND,li1,17.7100,27.2000,0.000003
dc_inst.x6.x15,VGND,li1,19.0900,27.2000,0.000003
dc_inst.x6.x14,VGND,li1,16.3300,21.7600,0.000001
dc_inst.x6.x13,VGND,li1,17.7100,21.7600,0.000001
dc_inst.x6.x12,VGND,li1,14.9500,21.7600,0.000001
dc_inst.x6.x11,VGND,li1,13.5700,21.7600,0.000001
dc_inst.x6.x10,VGND,li1,14.9500,21.7600,0.000001
dc_inst.x6.x1,VGND,li1,14.9500,27.2000,0.000003
dc_inst.x5.x9,VGND,li1,29.2100,10.8800,0.000001
dc_inst.x5.x8,VGND,li1,19.5500,10.8800,0.000000
dc_inst.x5.x7,VGND,li1,20.9300,10.8800,0.000000
dc_inst.x5.x6,VGND,li1,16.3300,21.7600,0.000001
dc_inst.x5.x5,VGND,li1,22.3100,10.8800,0.000000
dc_inst.x5.x4,VGND,li1,26.4500,10.8800,0.000000
dc_inst.x5.x3,VGND,li1,25.0700,10.8800,0.000000
dc_inst.x5.x20,VGND,li1,9.6600,27.2000,0.000003
dc_inst.x5.x2,VGND,li1,7.5900,10.8800,0.000000
dc_inst.x5.x19,VGND,li1,8.9700,21.7600,0.000001
dc_inst.x5.x18,VGND,li1,7.5900,21.7600,0.000001
dc_inst.x5.x17,VGND,li1,8.5100,16.3200,0.000001
dc_inst.x5.x16,VGND,li1,8.5100,16.3200,0.000001
dc_inst.x5.x15,VGND,li1,9.8900,16.3200,0.000001
dc_inst.x5.x14,VGND,li1,8.9700,10.8800,0.000000
dc_inst.x5.x13,VGND,li1,10.3500,10.8800,0.000000
dc_inst.x5.x12,VGND,li1,29.6700,16.3200,0.000001
dc_inst.x5.x11,VGND,li1,30.5900,16.3200,0.000001
dc_inst.x5.x10,VGND,li1,27.8300,10.8800,0.000000
dc_inst.x5.x1,VGND,li1,13.5700,16.3200,0.000001
dc_inst.x4.x9,VGND,li1,19.0900,16.3200,0.000001
dc_inst.x4.x8,VGND,li1,17.7100,16.3200,0.000001
dc_inst.x4.x7,VGND,li1,19.5500,16.3200,0.000001
dc_inst.x4.x6,VGND,li1,17.7100,21.7600,0.000001
dc_inst.x4.x5,VGND,li1,19.0900,21.7600,0.000001
dc_inst.x4.x4,VGND,li1,21.8500,27.2000,0.000003
dc_inst.x4.x3,VGND,li1,24.6100,27.2000,0.000003
dc_inst.x4.x20,VGND,li1,13.3400,16.3200,0.000001
dc_inst.x4.x2,VGND,li1,23.2300,27.2000,0.000003
dc_inst.x4.x19,VGND,li1,12.1900,10.8800,0.000000
dc_inst.x4.x18,VGND,li1,14.9500,10.8800,0.000000
dc_inst.x4.x17,VGND,li1,15.8700,16.3200,0.000001
dc_inst.x4.x16,VGND,li1,16.3300,10.8800,0.000000
dc_inst.x4.x15,VGND,li1,13.5700,10.8800,0.000000
dc_inst.x4.x14,VGND,li1,17.7100,10.8800,0.000000
dc_inst.x4.x13,VGND,li1,14.9500,16.3200,0.000001
dc_inst.x4.x12,VGND,li1,16.3300,16.3200,0.000001
dc_inst.x4.x11,VGND,li1,17.7100,16.3200,0.000001
dc_inst.x4.x10,VGND,li1,20.4700,16.3200,0.000001
dc_inst.x4.x1,VGND,li1,23.6900,27.2000,0.000003
dc_inst.x3.x9,VGND,li1,36.5700,38.0800,0.000055
dc_inst.x3.x8,VGND,li1,35.1900,38.0800,0.000055
dc_inst.x3.x7,VGND,li1,33.8100,38.0800,0.000055
dc_inst.x3.x6,VGND,li1,35.1900,32.6400,0.000004
dc_inst.x3.x5,VGND,li1,32.4300,38.0800,0.000055
dc_inst.x3.x4,VGND,li1,31.0500,32.6400,0.000004
dc_inst.x3.x3,VGND,li1,29.6700,32.6400,0.000004
dc_inst.x3.x20,VGND,li1,29.9000,32.6400,0.000004
dc_inst.x3.x2,VGND,li1,32.4300,32.6400,0.000004
dc_inst.x3.x19,VGND,li1,32.4300,32.6400,0.000004
dc_inst.x3.x18,VGND,li1,33.8100,32.6400,0.000004
dc_inst.x3.x17,VGND,li1,28.2900,32.6400,0.000004
dc_inst.x3.x16,VGND,li1,29.2100,38.0800,0.000055
dc_inst.x3.x15,VGND,li1,30.5900,38.0800,0.000055
dc_inst.x3.x14,VGND,li1,35.1900,32.6400,0.000004
dc_inst.x3.x13,VGND,li1,35.1900,38.0800,0.000055
dc_inst.x3.x12,VGND,li1,36.5700,32.6400,0.000004
dc_inst.x3.x11,VGND,li1,36.5700,38.0800,0.000055
dc_inst.x3.x10,VGND,li1,36.5700,32.6400,0.000004
dc_inst.x3.x1,VGND,li1,26.9100,32.6400,0.000004
dc_inst.x2.x9,VGND,li1,25.0700,16.3200,0.000001
dc_inst.x2.x8,VGND,li1,23.6900,16.3200,0.000001
dc_inst.x2.x7,VGND,li1,22.3100,16.3200,0.000001
dc_inst.x2.x6,VGND,li1,23.6900,10.8800,0.000000
dc_inst.x2.x5,VGND,li1,25.0700,16.3200,0.000001
dc_inst.x2.x4,VGND,li1,23.6900,16.3200,0.000001
dc_inst.x2.x3,VGND,li1,22.3100,16.3200,0.000001
dc_inst.x2.x20,VGND,li1,26.6800,27.2000,0.000003
dc_inst.x2.x2,VGND,li1,20.9300,16.3200,0.000001
