Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_11_69,VPWR,li1,37.4900,40.8000,1.799890
FILLER_11_29,VPWR,li1,19.0900,40.8000,1.799903
FILLER_11_3,VPWR,li1,7.3600,40.8000,1.799881
FILLER_10_69,VPWR,li1,37.4900,40.8000,1.799890
FILLER_10_3,VPWR,li1,7.1300,40.8000,1.799881
FILLER_9_69,VPWR,li1,37.4900,35.3600,1.799964
FILLER_9_48,VPWR,li1,28.0600,35.3600,1.799964
FILLER_9_23,VPWR,li1,16.3300,35.3600,1.799953
FILLER_8_69,VPWR,li1,37.4900,35.3600,1.799964
FILLER_8_44,VPWR,li1,25.9900,35.3600,1.799964
FILLER_8_3,VPWR,li1,7.1300,35.3600,1.799938
FILLER_7_69,VPWR,li1,37.4900,29.9200,1.799994
FILLER_7_55,VPWR,li1,31.0500,29.9200,1.799994
FILLER_7_7,VPWR,li1,9.2000,29.9200,1.799994
FILLER_7_3,VPWR,li1,7.1300,29.9200,1.799994
FILLER_6_48,VPWR,li1,27.8300,29.9200,1.799994
FILLER_6_35,VPWR,li1,22.3100,29.9200,1.799995
FILLER_6_32,VPWR,li1,20.9300,29.9200,1.799995
FILLER_6_27,VPWR,li1,18.1700,29.9200,1.799995
FILLER_6_3,VPWR,li1,7.1300,29.9200,1.799994
FILLER_5_68,VPWR,li1,37.2600,24.4800,1.800000
FILLER_5_57,VPWR,li1,31.9700,24.4800,1.800000
FILLER_5_48,VPWR,li1,28.0600,24.4800,1.800000
FILLER_5_43,VPWR,li1,25.7600,24.4800,1.800000
FILLER_5_31,VPWR,li1,20.4700,24.4800,1.800000
FILLER_5_14,VPWR,li1,12.4200,24.4800,1.800000
FILLER_5_3,VPWR,li1,7.3600,24.4800,1.800000
FILLER_4_69,VPWR,li1,37.4900,24.4800,1.800000
FILLER_4_37,VPWR,li1,23.0000,24.4800,1.800000
FILLER_4_29,VPWR,li1,19.0900,24.4800,1.800000
FILLER_4_18,VPWR,li1,14.0300,24.4800,1.800000
FILLER_4_7,VPWR,li1,9.2000,24.4800,1.800000
FILLER_4_3,VPWR,li1,7.1300,24.4800,1.800000
FILLER_3_68,VPWR,li1,37.2600,19.0400,1.799998
FILLER_3_57,VPWR,li1,32.2000,19.0400,1.799998
FILLER_3_48,VPWR,li1,28.0600,19.0400,1.799998
FILLER_3_43,VPWR,li1,25.7600,19.0400,1.799999
FILLER_3_39,VPWR,li1,23.6900,19.0400,1.799999
FILLER_3_34,VPWR,li1,21.6200,19.0400,1.799999
FILLER_3_9,VPWR,li1,9.8900,19.0400,1.799999
FILLER_2_54,VPWR,li1,30.5900,19.0400,1.799998
FILLER_2_44,VPWR,li1,25.9900,19.0400,1.799999
FILLER_2_24,VPWR,li1,16.7900,19.0400,1.799999
FILLER_2_19,VPWR,li1,14.7200,19.0400,1.799999
FILLER_2_13,VPWR,li1,11.9600,19.0400,1.799999
FILLER_2_8,VPWR,li1,9.6600,19.0400,1.799999
FILLER_2_3,VPWR,li1,7.3600,19.0400,1.799999
FILLER_1_60,VPWR,li1,33.5800,13.6000,1.799998
FILLER_1_57,VPWR,li1,32.4300,13.6000,1.799998
FILLER_1_34,VPWR,li1,21.3900,13.6000,1.799999
FILLER_1_11,VPWR,li1,11.0400,13.6000,1.799999
FILLER_1_3,VPWR,li1,7.3600,13.6000,1.799999
FILLER_0_69,VPWR,li1,37.4900,13.6000,1.799998
FILLER_0_60,VPWR,li1,33.5800,13.6000,1.799998
FILLER_0_57,VPWR,li1,32.4300,13.6000,1.799998
FILLER_0_53,VPWR,li1,30.5900,13.6000,1.799999
FILLER_0_12,VPWR,li1,11.2700,13.6000,1.799999
clkload0,VPWR,li1,20.7000,40.8000,1.799912
clkbuf_1_1__f_clk,VPWR,li1,26.6800,40.8000,1.799892
clkbuf_1_0__f_clk,VPWR,li1,11.5000,35.3600,1.799938
clkbuf_0_clk,VPWR,li1,13.8000,40.8000,1.799881
TAP_TAPCELL_ROW_11_37,VPWR,li1,31.5100,41.1060,1.799890
TAP_TAPCELL_ROW_11_36,VPWR,li1,18.6300,41.1060,1.799903
TAP_TAPCELL_ROW_10_35,VPWR,li1,18.6300,40.4930,1.799903
TAP_TAPCELL_ROW_9_34,VPWR,li1,31.5100,35.6660,1.799964
TAP_TAPCELL_ROW_8_33,VPWR,li1,18.6300,35.0530,1.799959
TAP_TAPCELL_ROW_7_32,VPWR,li1,31.5100,30.2260,1.799994
TAP_TAPCELL_ROW_6_31,VPWR,li1,18.6300,29.6130,1.799995
TAP_TAPCELL_ROW_5_30,VPWR,li1,31.5100,24.7860,1.800000
TAP_TAPCELL_ROW_4_29,VPWR,li1,18.6300,24.1730,1.800000
TAP_TAPCELL_ROW_3_28,VPWR,li1,31.5100,19.3460,1.799998
TAP_TAPCELL_ROW_2_27,VPWR,li1,18.6300,18.7330,1.799999
TAP_TAPCELL_ROW_1_26,VPWR,li1,31.5100,13.9060,1.799998
TAP_TAPCELL_ROW_0_25,VPWR,li1,31.5100,13.2930,1.799998
TAP_TAPCELL_ROW_0_24,VPWR,li1,18.6300,13.2930,1.799999
PHY_EDGE_ROW_11_Left_23,VPWR,li1,6.2100,40.8000,1.799881
PHY_EDGE_ROW_10_Left_22,VPWR,li1,6.2100,40.8000,1.799881
PHY_EDGE_ROW_9_Left_21,VPWR,li1,6.2100,35.3600,1.799938
PHY_EDGE_ROW_8_Left_20,VPWR,li1,6.2100,35.3600,1.799938
PHY_EDGE_ROW_7_Left_19,VPWR,li1,6.2100,29.9200,1.799994
PHY_EDGE_ROW_6_Left_18,VPWR,li1,6.2100,29.9200,1.799994
PHY_EDGE_ROW_5_Left_17,VPWR,li1,6.2100,24.4800,1.800000
PHY_EDGE_ROW_4_Left_16,VPWR,li1,6.2100,24.4800,1.800000
PHY_EDGE_ROW_3_Left_15,VPWR,li1,6.2100,19.0400,1.799999
PHY_EDGE_ROW_2_Left_14,VPWR,li1,6.2100,19.0400,1.799999
PHY_EDGE_ROW_1_Left_13,VPWR,li1,6.2100,13.6000,1.799999
PHY_EDGE_ROW_0_Left_12,VPWR,li1,6.2100,13.6000,1.799999
PHY_EDGE_ROW_11_Right_11,VPWR,li1,38.4100,40.8000,1.799890
PHY_EDGE_ROW_10_Right_10,VPWR,li1,38.4100,40.8000,1.799890
PHY_EDGE_ROW_9_Right_9,VPWR,li1,38.4100,35.3600,1.799964
PHY_EDGE_ROW_8_Right_8,VPWR,li1,38.4100,35.3600,1.799964
PHY_EDGE_ROW_7_Right_7,VPWR,li1,38.4100,29.9200,1.799994
PHY_EDGE_ROW_6_Right_6,VPWR,li1,38.4100,29.9200,1.799994
