Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,172
design__inferred_latch__count,0
design__instance__count,176
design__instance__area,890.854
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00008698467718204483
power__switching__total,0.00001791898648662027
power__leakage__total,5.582044271257303E-10
power__total,0.0001049042257363908
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2500057731598913
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2512190249155148
timing__hold__ws__corner:nom_tt_025C_1v80,0.39218907009826254
timing__setup__ws__corner:nom_tt_025C_1v80,7.010669576635311
timing__hold__tns__corner:nom_tt_025C_1v80,0
timing__setup__tns__corner:nom_tt_025C_1v80,0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.392189
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,inf
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2500053845818217
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.25212713186418995
timing__hold__ws__corner:nom_ss_100C_1v60,0.7766117968527175
timing__setup__ws__corner:nom_ss_100C_1v60,6.201515920765157
timing__hold__tns__corner:nom_ss_100C_1v60,0
timing__setup__tns__corner:nom_ss_100C_1v60,0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.022559
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,inf
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25000607847123174
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2508135436998783
timing__hold__ws__corner:nom_ff_n40C_1v95,0.15364845941562966
timing__setup__ws__corner:nom_ff_n40C_1v95,7.2652028671732465
timing__hold__tns__corner:nom_ff_n40C_1v95,0
timing__setup__tns__corner:nom_ff_n40C_1v95,0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.153648
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,inf
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.24999839017656877
clock__skew__worst_setup,0.250718120028213
timing__hold__ws,0.1509749867855701
timing__setup__ws,6.193882027031933
timing__hold__tns,0
timing__setup__tns,0
timing__hold__wns,0
timing__setup__wns,0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.150975
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 44.65 55.37
design__core__bbox,5.52 10.88 39.1 43.52
design__io,21
design__die__area,2472.27
design__core__area,1096.05
design__instance__count__stdcell,176
design__instance__area__stdcell,890.854
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.812785
design__instance__utilization__stdcell,0.812785
design__instance__count__class:buffer,140
design__instance__count__class:inverter,4
design__instance__count__class:sequential_cell,3
design__instance__count__class:multi_input_combinational_cell,11
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,81
design__instance__count__class:tap_cell,14
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1376.13
design__violations,0
design__instance__count__class:clock_buffer,4
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,179
route__net__special,2
route__drc_errors__iter:1,10
route__wirelength__iter:1,1297
route__drc_errors__iter:2,1
route__wirelength__iter:2,1293
route__drc_errors__iter:3,1
route__wirelength__iter:3,1293
route__drc_errors__iter:4,0
route__wirelength__iter:4,1293
route__drc_errors,0
route__wirelength,1293
route__vias,607
route__vias__singlecut,607
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,55.64
timing__unannotated_net__count__corner:nom_tt_025C_1v80,1
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,1
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,1
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.24999839017656877
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.2511636525405956
timing__hold__ws__corner:min_tt_025C_1v80,0.3880169628760284
timing__setup__ws__corner:min_tt_025C_1v80,7.01296551791517
timing__hold__tns__corner:min_tt_025C_1v80,0
timing__setup__tns__corner:min_tt_025C_1v80,0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.388017
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,inf
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,1
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
