Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_64_402,VGND,li1,190.6700,184.9600,0.000003
FILLER_64_399,VGND,li1,189.7500,184.9600,0.000003
FILLER_64_396,VGND,li1,188.3700,184.9600,0.000003
FILLER_64_393,VGND,li1,186.9900,184.9600,0.000003
FILLER_64_389,VGND,li1,185.1500,184.9600,0.000003
FILLER_64_386,VGND,li1,183.7700,184.9600,0.000002
FILLER_64_383,VGND,li1,182.3900,184.9600,0.000002
FILLER_64_380,VGND,li1,181.0100,184.9600,0.000002
FILLER_64_377,VGND,li1,179.6300,184.9600,0.000002
FILLER_64_374,VGND,li1,178.2500,184.9600,0.000002
FILLER_64_371,VGND,li1,176.8700,184.9600,0.000002
FILLER_64_368,VGND,li1,175.4900,184.9600,0.000002
FILLER_64_365,VGND,li1,174.1100,184.9600,0.000002
FILLER_64_361,VGND,li1,172.2700,184.9600,0.000002
FILLER_64_358,VGND,li1,170.8900,184.9600,0.000002
FILLER_64_355,VGND,li1,169.5100,184.9600,0.000002
FILLER_64_352,VGND,li1,168.1300,184.9600,0.000002
FILLER_64_349,VGND,li1,166.7500,184.9600,0.000002
FILLER_64_346,VGND,li1,165.3700,184.9600,0.000002
FILLER_64_343,VGND,li1,163.9900,184.9600,0.000002
FILLER_64_340,VGND,li1,162.6100,184.9600,0.000002
FILLER_64_337,VGND,li1,161.2300,184.9600,0.000002
FILLER_64_335,VGND,li1,159.8500,184.9600,0.000002
FILLER_64_332,VGND,li1,158.9300,184.9600,0.000002
FILLER_64_329,VGND,li1,157.5500,184.9600,0.000002
FILLER_64_326,VGND,li1,156.1700,184.9600,0.000002
FILLER_64_323,VGND,li1,154.7900,184.9600,0.000002
FILLER_64_320,VGND,li1,153.4100,184.9600,0.000002
FILLER_64_317,VGND,li1,152.0300,184.9600,0.000002
FILLER_64_312,VGND,li1,149.5000,184.9600,0.000002
FILLER_64_309,VGND,li1,148.3500,184.9600,0.000002
FILLER_64_305,VGND,li1,146.5100,184.9600,0.000002
FILLER_64_302,VGND,li1,145.1300,184.9600,0.000002
FILLER_64_299,VGND,li1,143.7500,184.9600,0.000002
FILLER_64_296,VGND,li1,142.3700,184.9600,0.000002
FILLER_64_293,VGND,li1,140.9900,184.9600,0.000002
