net,length_um
net62,336.85µm
cout_next,265.21µm
net34,245.83µm
net35,238.77µm
clknet_2_3__leaf_clk_regs,237.61µm
net36,226.21µm
clk,185.58µm
clknet_2_0__leaf_clk_regs,170.2µm
net33,165.025µm
net48,146.22µm
net51,140.58µm
net45,140.28µm
net44,139.72µm
net49,139.32µm
net53,139.2µm
net39,138.74µm
net40,138.74µm
net41,138.4µm
net47,138.34µm
net52,138.2µm
net54,138.06µm
net43,136.22µm
net46,135.64µm
net42,135.44µm
net50,135.12µm
clknet_2_1__leaf_clk_regs,134.72µm
net58,127.14µm
clknet_2_2__leaf_clk_regs,119.68µm
clknet_0_clk_regs,110.94µm
net60,97.98µm
net59,93.58µm
net7,88.44µm
net17,83.64µm
net56,75.86µm
net6,74.74µm
net5,73.64µm
net61,69.32µm
net4,68.9µm
net3,68.06µm
net38,64.48µm
net27,64.34µm
net24,63.96µm
net25,62.26µm
net26,61.28µm
net28,60.52µm
net2,57.56µm
net16,51.66µm
net30,50.18µm
net29,47.72µm
net15,46.9µm
net57,46.72µm
net55,43.21µm
net14,41.46µm
net13,40.78µm
net31,37.76µm
genblk1\[3\].fa_inst.a,34.26µm
net12,31.14µm
net32,30.48µm
genblk1\[2\].fa_inst.a,26.56µm
net18,25.5µm
net11,23.54µm
genblk1\[4\].fa_inst.a,23.26µm
net1,23.12µm
net19,22.28µm
genblk1\[7\].fa_inst.a,21.68µm
genblk1\[14\].fa_inst.a,21.28µm
genblk1\[1\].fa_inst.a,20.88µm
genblk1\[5\].fa_inst.a,20.78µm
genblk1\[11\].fa_inst.a,20.76µm
tdo,20.46µm
genblk1\[8\].fa_inst.a,20.32µm
genblk1\[9\].fa_inst.a,20.32µm
genblk1\[10\].fa_inst.a,20.2µm
genblk1\[6\].fa_inst.a,18.67µm
net70,18.59µm
genblk1\[15\].fa_inst.b,18.56µm
net37,18.14µm
genblk1\[2\].fa_inst.s,17.905µm
genblk1\[12\].fa_inst.b,17.82µm
genblk1\[12\].fa_inst.a,17.48µm
genblk1\[13\].fa_inst.a,17.26µm
genblk1\[2\].fa_inst.b,16.94µm
genblk1\[7\].fa_inst.b,16.92µm
genblk1\[1\].fa_inst.b,16.84µm
net20,16.44µm
clknet_1_0__leaf_clk,16.09µm
delay_sel[2],14.93µm
genblk1\[10\].fa_inst.b,14.845µm
genblk1\[8\].fa_inst.b,14.54µm
genblk1\[9\].fa_inst.b,14.54µm
net73,14.39µm
net74,14.39µm
genblk1\[15\].fa_inst.s,14.08µm
_054_,14.02µm
genblk1\[13\].fa_inst.s,13.98µm
net21,13.7µm
net64,13.69µm
net65,13.69µm
net66,13.69µm
net67,13.69µm
net71,13.69µm
net63,13.69µm
genblk1\[1\].fa_inst.s,13.62µm
_055_,13.56µm
net68,13.01µm
net69,13.01µm
net72,13.01µm
genblk1\[15\].fa_inst.a,12.96µm
